Model,RMSE (kW),MAE (kW),R² Score,Improvement vs Persistence
Persistence,167.9576445513866,90.635545440305,-,0%
Moving Average,190.91606285814308,113.31508374305555,-,-25.0%
LSTM,148.27381585584294,85.30583741358568,0.8213,5.9%
